periodo,ganancias,ganancias dgi,ganancias dga,iva,iva dgi,devoluciones (-),iva dga,reintegros (-),internos coparticipados,otros coparticipados,derechos de exportacion,bienes personales,creditos y debitos en cta. cte,otros impuestos (3),aportes personales,contribuciones patronales,otros ingresos seguridad social (4),subtotal dgi,subtotal dga (5),total dgi-dga,sistema seguridad social,total recursos tributarios,clasificacion presupuestaria,administracion nacional
2015-04,21325.15709809,20028.08404852,1297.07304957,33589.66952857,25226.00282967,12.0,8375.6666989,1350.0,2393.45704913,129.859601245,9290.2241451,865.37226608,7665.90733897,833.594538525,11824.5383591,17117.34629392,1296.19158643,59766.23845586,22052.93585838,81819.17431424,30839.44873459,112658.62304883,112658.62304883,50537.7444670896
2015-05,44918.68472555,43386.31483768,1532.36988787,32448.20572795,23482.0440885,655.0,9621.16163945,1750.0,2328.85768572,195.29836944,7951.15938426,4705.52984307,8171.80703669,699.297730469999,11932.21852502,17302.90124536,1210.06379147,85326.19769092,23033.76118761,108359.95887853,29778.92057466,138138.87945319,138138.87945319,63746.9827536969
2015-06,43050.18060962,41483.74065996,1566.43994966,34052.35208986,24106.95659771,501.7,10447.09549215,1200.0,2377.25566854,175.604186525,10412.37924754,2445.69764931,7756.15848829,1812.062731385,12451.05750757,17888.85076653,1274.82376329,82840.24872308,27045.57780972,109885.8265328,30951.94684407,140837.77337687,140837.77337687,66285.051495386
2015-07,33332.74175461,31736.80424881,1595.9375058,35911.09959591,25362.92864509,507.3,11055.47095082,1500.0,2412.83567197,180.70474351,10756.07410949,1391.32278996,8827.59223153,1098.11384215,18149.56668891,26286.66356689,1441.89042509,72875.83342947,28028.15667735,100903.99010682,45094.57423003,145998.56433685,145998.56433685,61971.2205821724
2015-08,32324.12226776,30732.87655935,1591.24570841,39234.9527472,28460.70323772,311.2,11085.44950948,850.0,2700.56762028,199.35416376,6592.49375611,1843.59989126,8186.68575693,798.305972969999,13389.75224749,19184.70647913,1443.98111726,76388.83871108,23276.66487517,99665.50358625,32849.71539675,132515.218983,132515.218983,59075.9914058762
2015-09,30300.60807821,28681.96195483,1618.64612338,38919.25543895,28261.50359527,2.5,10660.25184368,26.0,2539.3513264,195.87032895,4716.09770997,633.38599378,8741.7756829,1194.77914395,13495.0658086,19445.8648486,1518.74083349,74532.18227253,20832.32447289,95364.50674542,34077.91932071,129442.42606613,129442.42606613,56682.3894803058
2015-10,33033.52453084,31384.33860705,1649.18592379,38926.54137518,28745.09194731,657.0,10838.44942787,0.0,2900.24948099,176.82514562,5522.44769515,1760.66473097,8776.20202581,856.47313228,13840.27122357,19753.74687912,1457.16172848,78292.92096526,21892.54079703,100185.46176229,34231.6008512,134417.06261349,134417.06261349,59253.9566312296
2015-11,33023.17810403,31456.9665239,1566.21158013,38894.52454465,29144.66739965,603.3,10353.157145,500.0,2922.86270885,236.789477355,3312.8271946,564.51998039,8664.3393216,171.324965425,13865.33456635,19535.59896609,1636.1953669,76418.88806844,18965.67465152,95384.56271996,34104.7250752,129489.28779516,129489.28779516,55527.4580876306
2015-12,38175.90301809,36329.58379063,1846.31922746,42635.22464131,30312.19172098,667.0,12990.03292033,1052.0,3312.154637,225.06883252,5008.35331836,1778.59355478,10048.71760058,1578.05822326,13913.75717126,20043.05987769,1713.76949655,86463.04515389,24277.84773929,110740.89289318,34293.05994807,145033.95284125,145033.95284125,64465.833306
2016-01,40625.09583711,38578.36294413,2046.73289298,45662.22376226,32252.31493466,142.0,13551.9088276,719.0,3306.4810851,253.207652745,4858.66387996,409.65760194,9609.66876388,1122.297211535,20105.85535137,28638.07854175,1354.76053831,87241.06218195,25090.54583208,112331.60801403,50322.54330454,162654.15131857,162654.15131857,63955.4952137021
2016-02,30398.68185338,28294.16512032,2104.51673306,41647.7601947,28326.95923335,59.0,13379.80096135,526.0,3004.58611394,162.237749665,3509.87868154,1477.08498685,8751.45569524,548.552037275001,14537.40746991,21181.79113512,1525.37628616,75134.78209573,23346.66575676,98481.44785249,36321.82941661,134803.2772691,134803.2772691,55471.3416029468
2016-03,24454.03780872,21922.68741883,2531.35038989,45858.82443367,29835.99736809,111.0,16133.82706558,1626.0,2810.29052221,213.29075628,6604.48898039,355.03599737,9891.73655322,3386.01352107,14421.97235319,21712.61423707,1651.59324581,69622.39744557,31141.72862733,100764.1260729,36998.2431875,137762.3692604,137762.3692604,60674.6041178594
2016-04,23185.6996782,20572.01320575,2613.68647245,47858.14406733,33180.96966085,306.0,14983.17440648,1500.0,3034.70763282,220.35475528,12787.236188,1036.20655758,10428.98299733,2053.82892598,16069.36891534,24416.28724664,1800.97570381,73541.13171618,35663.39019665,109204.52191283,41605.18064393,150809.70255676,150809.70255676,66875.0092336044
2016-05,44320.8707473,41695.51071397,2625.36003333,45787.68345389,30904.33804054,160.0,15043.34541335,1687.0,2910.17411014,226.490204275,7892.13143064,5758.32239978,10222.10604192,1673.033589015,16865.28505133,24650.60904457,1812.55481293,96343.44865641,31250.16150657,127593.61016298,42750.99999466,170344.61015764,170344.61015764,73021.7014766954
2016-06,48969.95689898,46448.25144359,2521.70545539,47831.74899957,33306.48719194,300.0,14825.26180763,2200.0,3668.05879036,267.63384054,4930.99343809,3160.81393814,11227.43506213,1623.11170482,17000.91189579,24618.89042697,1737.9591272,102894.65037892,29213.11932034,132107.76969926,42488.96165642,174596.73135568,174596.73135568,74057.4399789496
2016-07,36221.21086168,33804.77968993,2416.43117175,47652.60794746,33455.02887096,739.0,14936.5790765,990.0,4151.78308985,270.075580315,7634.75371514,1742.58845793,12019.70746594,853.615887695001,23258.31478408,33197.7927266,1911.51314278,90628.56159616,32502.24151489,123130.80311105,56960.60041547,180091.40352652,180091.40352652,70683.4552777797
2016-08,34679.4610741,32214.86647558,2464.59459852,50845.58877125,34807.79134041,340.0,16377.79743084,1235.0,4368.30383382,259.95687285,4453.78763259,1710.15903283,10798.28574971,2287.67547841,17345.87012149,25879.88979247,1992.46155244,90973.26252758,30513.73586587,121486.99839345,44276.09995821,165763.09835166,165763.09835166,67973.5311374997
2016-09,34425.75015711,31985.75686132,2439.99329579,53856.67423375,38101.63557939,403.0,16158.03865436,1117.0,4698.61974854,326.223119525,5172.16245764,517.43208516,12063.18395547,1199.052663625,17533.03302245,26531.4995333,1971.43424591,93231.07722918,29853.26116925,123084.33839843,45232.91767382,168317.25607225,168317.25607225,69318.583431719
2016-10,35685.43957271,33462.64448035,2222.79509236,49254.4154541,34609.79357543,565.0,15209.62187867,1375.0,4920.04471201,266.92176627,4688.65865493,1547.38675027,11236.96597234,3924.07869249,17993.97560562,26325.20107447,2042.18046064,93970.49734149,27755.64252142,121726.13986291,45470.17230917,167196.31217208,167196.31217208,69332.3769237212
2016-11,37514.0909177,35274.22106131,2239.86985639,52361.70593828,37483.65969285,673.0,15551.04624543,1800.0,4715.8308559,376.367341725,5069.84305984,436.59003777,12413.07865829,12889.559817145,18666.98331259,27167.48118319,2053.82582065,106791.83273724,28495.19729297,135287.03003021,46985.63505619,182272.6650864,182272.6650864,81065.2074452717
2016-12,42426.85862719,40096.7085737,2330.15005349,54599.55908941,39854.85068138,2134.0,16878.70840803,208.0,5284.11830074,416.38256213,3906.52906379,1389.44628677,13006.47206712,93144.84690102,18944.4684507,27309.30663319,2100.4015269,199704.91313474,29070.34545514,228775.25858988,46766.91310331,275542.17169319,275542.17169319,166518.154626839
2017-01,43503.51786416,41305.90081353,2197.61705063,58545.88028373,44255.07055658,1761.0,16051.80972715,1661.0,5950.551778,422.22043922,6102.50287472,431.68750561,13058.8918385,9270.09169579,26471.57409568,37740.1625228,2178.79774005,115412.3878895,30243.51312731,145655.90101681,65757.48712873,211413.38814554,211413.38814554,84643.8426092023
2017-02,35345.85857293,33355.42898466,1990.42958827,53121.92340022,40082.12352921,1675.0,14714.79987101,1265.0,5144.3045691,661.2213393,1071.73081146,1250.4997731,12721.25883829,2838.38121694,19961.90493718,29965.30007749,2193.46231079,98436.06757191,22870.34522038,121306.41279229,50915.1580335,172221.57082579,172221.57082579,66058.2231850723
2017-03,32942.99701138,30342.70629109,2600.29072029,53405.70565585,36602.59187682,2400.0,19203.11377903,1327.09650898,5030.15980556,318.41565006,6138.37506915,473.07194186,12359.63916051,37833.96826979,20550.96209972,30621.15752796,2565.44353514,125431.51848191,34342.52554902,159774.04403093,52520.79815872,212294.84218965,212294.84218965,105469.139851776
