,ipc_var,defl,emae,emae_sa,supermercados,itcrm,empleo,ripte
2025-02,2.4,0.6670791053779656,141.404599640534,153.542654381892,21578.82766840556,81.04438505740457,12876.721000000001,195.7267809036883
2025-03,3.7,0.6917610322769503,150.61015153617,149.34718181687,23866.846907148592,80.50509444461592,12865.725,201.53986629652786
2025-04,2.8,0.711130341180705,158.939298772999,152.384098030815,22420.826988976274,82.33537597955628,12881.043000000001,208.35191377735052
2025-05,1.5,0.7217972962984155,165.0746434472,152.270518826338,22290.849594188196,83.90405557894319,12892.299,214.5816359992933
2025-06,1.6,0.7333460530391901,156.788904169427,151.548301951458,22333.23126368058,86.12891890148563,12888.649000000001,220.97616875207225
2025-07,1.9,0.7472796280469346,153.770221533856,151.293300948977,22538.33856601795,91.77660008750954,12885.079,226.45637773712363
2025-08,1.9,0.7614779409798262,150.375794487285,152.175943810366,22701.49152426365,95.05214581822446,12878.480000000001,233.61239927361675
2025-09,2.1,0.7774689777404025,151.705547666222,153.277721823983,20762.02280873389,99.10494368015927,12877.593,238.79859453749103
2025-10,2.3,0.7953507642284317,152.838348644922,153.090734729268,22611.072096922508,98.90036492598405,12855.384,244.76855940092827
2025-11,2.5,0.8152345333341424,147.971686349983,153.012787837257,22630.11697255106,96.00808293083416,12847.529,249.1254397582648
2025-12,2.8,0.8380611002674984,153.846165907201,155.947822026171,28133.905620793095,94.67986195318032,12851.810999999998,253.13635933837287
2026-01,2.9,0.8623648721752557,149.429834187148,156.300870710309,22759.48130906786,93.53735284060534,12850.761999999999,259.56602286556756
2026-02,2.9,0.887373453468338,139.311631572628,152.462325180149,20913.077756425057,90.09101526030497,12856.383,265.87347722120086
2026-03,3.4,0.9175441508862616,159.976850057738,156.731112313453,22652.74141797431,86.23402903685968,12832.385999999999,274.9131754467217
2026-04,2.6,0.9414002988093044,161.607211010158,154.336402014869,21591.038345594414,84.6695645688686,12797.583999999997,285.16743689088446
2026-05,2.1,0.9611697050842997,165.471414076407,153.62027214485,22140.23403795204,84.32430568511882,12785.603999999998,291.4981539898621
2026-06,1.9,0.9794319294809012,,,,84.97640016253324,,
2026-07,2.1,1.0,,,,85.47006602748095,,
